tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-nickname,animal-ring-id,animal-sex,animal-siblings,attachment-body-part,attachment-comments,attachment-type,deploy-on-person,deployment-id,manipulation-type,tag-manufacturer-name,tag-model,tag-production-date,tag-readout-method,tag-serial-no
6118,Crane01_KN6118,Anthropoides virgo,2018-07-05 00:00:00.000,,,2018-05-10 00:00:00.000,juvenile,,Crane01,01red,u,,leg,,leg-band,Andrei Gavrilov,Crane01_KN6118,none,University of Konstanz,GPS-GSM solar,2018,phone-network,6118
6119,Crane02_KN6119,Anthropoides virgo,2018-07-05 00:00:00.000,,In the family with Crane03,,,,Crane02,02red,u,Crane03,leg,,leg-band,Andrey Gavrilov,Crane02_KN6119,none,University of Konstanz,GPS-GSM solar,2018,phone-network,6119
6120,Crane03_KN6120,Anthropoides virgo,2018-07-05 00:00:00.000,,In the family with Crane02,,,,Crane03,03red,u,Crane02,leg,,leg-band,Andrei Gavrilov,Crane03_KN6120,none,University of Konstanz,GPS-GSM solar,2018,phone-network,6120
6121,Crane04_KN6121,Anthropoides virgo,2018-07-19 00:00:00.000,,In the family with one chick,2018-05-20 00:00:00.000,juvenile,,Crane04,"04red, AK 0004",u,,leg,,leg-band,Andrei Gavrilov,Crane04_KN6121,none,University of Konstanz,GPS-GSM solar,2018,phone-network,6121
6187,CraneB1_KN6187,Anthropoides virgo,2019-07-09 00:00:00.000,,"From the family with two chicks, but the second chick was not caught",2019-05-30 00:00:00.000,juvenile,B1 yellow on the right tibia,CraneB1,B1,u,,left leg,tag is attached to two red rings,leg-band,Andrei Gavrilov,CraneB1_KN6118,none,University of Konstanz,GPS-GSM solar,,phone-network,
6189,CraneB2_KN6189,Anthropoides virgo,2019-07-09 00:00:00.000,,,2019-05-30 00:00:00.000,juvenile,B2 yellow on the right leg,CraneB2,B2,u,,left leg,Tag is attached to two red rings on the left leg,leg-band,Andrei Gavrilov,CraneB2_KN6189,none,University of Konstanz,GPS-GSM solar,,phone-network,
6190,CraneB3_KN6190,Anthropoides virgo,2019-07-10 00:00:00.000,,,2019-05-30 00:00:00.000,juvenile,B3 yellow on the right leg,CraneB3,B3,u,,left leg,Tag is attached to two red rings on the left leg,leg-band,Andrei Gavrilov,CraneB3_KN6190,none,University of Konstanz,GPS-GSM solar,,phone-network,
