tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-nickname,animal-ring-id,animal-sex,attachment-body-part,attachment-comments,attachment-type,deploy-on-person,deployment-id,manipulation-type,tag-manufacturer-name,tag-model,tag-readout-method
6134,Raisa_KN6134,Anthropoides virgo,2019-06-16 00:00:00.000,,From the family with tagged chick Roman.,,2019-05-15 00:00:00.000,chick at the age 30-35 days,,Raisa,X0954,u,left leg,"Logger is attached to yellow ring, put on left leg",leg-band,Yuri Andryuschenko,Raisa_KN6134,none,University of Konstanz,GPS-GSM solar,phone-network
6135,Roman_KN6135,Anthropoides virgo,2019-06-16 00:00:00.000,,,,2019-05-15 00:00:00.000,chick at the age 30-35 days,,Roman,X0953,u,,,,Yuri Andryuschenko,Roman_KN6135,none,University of Konstanz,GPS-GSM solar,phone-network
6136,Olexa_KN6136,Anthropoides virgo,2019-06-27 00:00:00.000,,From the family with two chicks. The second chick was not caught.,,2019-05-20 00:00:00.000,chick at the age 40-45 days,,Olexa,X0956,u,left leg,"Logger is attached to yellow ring, put on the left leg",,Yuri Andryuschenko,Olexa_KN6136,none,University of Konstanz,GPS-GSM solar,phone-network
6137,Vasyl_6137,Anthropoides virgo,2020-07-14 00:00:00.000,,,2020-05-15 00:00:00.000,2020-05-15 00:00:00.000,juvenile,"yellow ring on right tibia, two yellow rings on left tibia",Vasyl,X0957,u,left tibia,,leg-band,,Vasyl_6137,none,University of Konstanz,GPS-GSM solar,phone-network
